trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",20,9,-20.860721508283447,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",20,0,-50.61718496451499,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",20,0,-3.518275793971392,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",20,0,-49.6375001435415,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,12,-12.868235914166222,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,0,-18.09701356952612,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,8,7.022758745844104,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,11,-36.69455635019808,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,0,-66.72981764844646,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",30,0,-53.55640189947095,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",35,6,-65.57651132408357,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,7,-46.83468714720904,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,8,-81.24747360752482,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,0,11.364716727686897,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
